ev_id,arrival_period_raw,departure_period_raw,arrival_slot,departure_slot,departure_slot_exclusive,available_periods
313,1,51,0,49,50,50
314,1,51,0,49,50,50
315,1,51,0,49,50,50
316,1,51,0,49,50,50
317,1,51,0,49,50,50
318,1,51,0,49,50,50
319,1,51,0,49,50,50
320,1,51,0,49,50,50
321,1,51,0,49,50,50
322,1,51,0,49,50,50
323,1,51,0,49,50,50
324,1,51,0,49,50,50
325,1,51,0,49,50,50
326,1,51,0,49,50,50
327,1,51,0,49,50,50
328,1,51,0,49,50,50
329,1,51,0,49,50,50
330,1,51,0,49,50,50
331,1,51,0,49,50,50
332,1,51,0,49,50,50
333,1,51,0,49,50,50
334,1,51,0,49,50,50
335,1,51,0,49,50,50
336,1,51,0,49,50,50
337,1,51,0,49,50,50
338,1,51,0,49,50,50
339,1,51,0,49,50,50
340,1,51,0,49,50,50
341,1,51,0,49,50,50
342,1,51,0,49,50,50
343,1,51,0,49,50,50
344,1,51,0,49,50,50
345,1,51,0,49,50,50
346,1,51,0,49,50,50
347,1,51,0,49,50,50
348,1,51,0,49,50,50
349,1,51,0,49,50,50
350,1,51,0,49,50,50
351,1,51,0,49,50,50
352,1,51,0,49,50,50
353,1,51,0,49,50,50
354,1,51,0,49,50,50
355,1,51,0,49,50,50
356,1,51,0,49,50,50
357,1,51,0,49,50,50
358,1,51,0,49,50,50
359,1,51,0,49,50,50
360,1,51,0,49,50,50
361,1,51,0,49,50,50
362,1,51,0,49,50,50
363,1,51,0,49,50,50
364,1,51,0,49,50,50
365,1,51,0,49,50,50
366,1,51,0,49,50,50
367,1,51,0,49,50,50
368,1,51,0,49,50,50
369,1,51,0,49,50,50
370,1,51,0,49,50,50
371,1,51,0,49,50,50
372,1,51,0,49,50,50
373,1,51,0,49,50,50
374,1,51,0,49,50,50
375,1,51,0,49,50,50
376,1,51,0,49,50,50
377,1,51,0,49,50,50
378,1,51,0,49,50,50
379,1,51,0,49,50,50
380,1,51,0,49,50,50
381,1,51,0,49,50,50
382,1,51,0,49,50,50
383,1,52,0,50,51,51
384,1,52,0,50,51,51
385,1,52,0,50,51,51
386,1,52,0,50,51,51
387,1,52,0,50,51,51
388,1,52,0,50,51,51
389,1,52,0,50,51,51
390,1,52,0,50,51,51
391,1,52,0,50,51,51
392,1,52,0,50,51,51
393,1,52,0,50,51,51
394,1,52,0,50,51,51
395,1,52,0,50,51,51
396,1,52,0,50,51,51
397,1,52,0,50,51,51
398,1,52,0,50,51,51
399,1,52,0,50,51,51
400,1,52,0,50,51,51
401,1,52,0,50,51,51
402,1,52,0,50,51,51
403,1,52,0,50,51,51
404,1,52,0,50,51,51
405,1,52,0,50,51,51
406,1,52,0,50,51,51
407,1,52,0,50,51,51
408,1,52,0,50,51,51
409,1,52,0,50,51,51
410,1,52,0,50,51,51
411,1,52,0,50,51,51
412,1,52,0,50,51,51
413,1,52,0,50,51,51
414,1,52,0,50,51,51
415,1,52,0,50,51,51
416,1,52,0,50,51,51
417,1,52,0,50,51,51
418,1,52,0,50,51,51
419,1,52,0,50,51,51
420,1,52,0,50,51,51
421,1,52,0,50,51,51
422,1,52,0,50,51,51
423,1,52,0,50,51,51
424,1,52,0,50,51,51
425,1,52,0,50,51,51
426,1,52,0,50,51,51
427,1,52,0,50,51,51
428,1,52,0,50,51,51
429,1,52,0,50,51,51
430,1,52,0,50,51,51
431,1,52,0,50,51,51
432,1,52,0,50,51,51
433,1,52,0,50,51,51
434,1,52,0,50,51,51
435,1,52,0,50,51,51
436,1,52,0,50,51,51
437,1,52,0,50,51,51
438,1,52,0,50,51,51
439,1,52,0,50,51,51
440,1,52,0,50,51,51
441,1,52,0,50,51,51
442,1,52,0,50,51,51
443,1,52,0,50,51,51
444,1,52,0,50,51,51
445,1,52,0,50,51,51
446,1,52,0,50,51,51
447,1,52,0,50,51,51
448,1,52,0,50,51,51
449,1,52,0,50,51,51
450,1,52,0,50,51,51
451,1,52,0,50,51,51
452,1,52,0,50,51,51
453,1,52,0,50,51,51
454,1,52,0,50,51,51
455,1,52,0,50,51,51
456,1,52,0,50,51,51
457,1,52,0,50,51,51
458,1,52,0,50,51,51
459,1,52,0,50,51,51
460,1,52,0,50,51,51
461,1,52,0,50,51,51
462,1,52,0,50,51,51
463,1,52,0,50,51,51
464,1,52,0,50,51,51
465,1,52,0,50,51,51
466,1,52,0,50,51,51
467,1,52,0,50,51,51
468,1,52,0,50,51,51
469,1,52,0,50,51,51
470,1,52,0,50,51,51
471,1,52,0,50,51,51
472,1,52,0,50,51,51
473,1,52,0,50,51,51
474,1,52,0,50,51,51
475,1,52,0,50,51,51
476,1,52,0,50,51,51
477,1,52,0,50,51,51
478,1,52,0,50,51,51
479,1,53,0,51,52,52
480,1,53,0,51,52,52
481,1,53,0,51,52,52
482,1,53,0,51,52,52
483,1,53,0,51,52,52
484,1,53,0,51,52,52
485,1,53,0,51,52,52
486,1,53,0,51,52,52
487,1,53,0,51,52,52
488,1,53,0,51,52,52
489,1,53,0,51,52,52
490,1,53,0,51,52,52
491,1,53,0,51,52,52
492,1,53,0,51,52,52
493,1,53,0,51,52,52
494,1,53,0,51,52,52
495,1,53,0,51,52,52
496,1,53,0,51,52,52
497,1,53,0,51,52,52
498,1,53,0,51,52,52
499,1,53,0,51,52,52
500,1,53,0,51,52,52
501,1,53,0,51,52,52
502,1,53,0,51,52,52
503,1,53,0,51,52,52
504,1,53,0,51,52,52
505,1,53,0,51,52,52
506,1,53,0,51,52,52
507,1,53,0,51,52,52
508,1,53,0,51,52,52
509,1,53,0,51,52,52
510,1,53,0,51,52,52
511,1,53,0,51,52,52
512,1,53,0,51,52,52
513,1,53,0,51,52,52
514,1,53,0,51,52,52
515,1,53,0,51,52,52
516,1,53,0,51,52,52
517,1,53,0,51,52,52
518,1,53,0,51,52,52
519,1,53,0,51,52,52
520,1,53,0,51,52,52
521,1,53,0,51,52,52
522,1,53,0,51,52,52
523,1,53,0,51,52,52
524,1,53,0,51,52,52
525,1,53,0,51,52,52
526,1,53,0,51,52,52
527,1,53,0,51,52,52
528,1,53,0,51,52,52
529,1,53,0,51,52,52
530,1,53,0,51,52,52
531,1,53,0,51,52,52
532,1,53,0,51,52,52
533,1,53,0,51,52,52
534,1,53,0,51,52,52
535,1,53,0,51,52,52
536,1,53,0,51,52,52
537,1,53,0,51,52,52
538,1,53,0,51,52,52
539,1,53,0,51,52,52
540,1,53,0,51,52,52
