scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
v2g,24,00:00-00:15,0.0,-8.380405409089113e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214876564396,-9.475214806738261,6.982613420802863e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,25,00:15-00:30,0.0,-8.54548937209595e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214874051018,-9.475214806738261,6.731275625782018e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,26,00:30-00:45,0.0,-8.713094544578707e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214871488342,-9.475214806738261,6.47500808526047e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,27,00:45-01:00,0.0,-8.785566751585045e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214868904352,-9.475214806738261,6.216609094167325e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,28,01:00-01:15,0.0,-8.841899620593876e-09,0.0,0.0,0.028235294117647056,0.0,0.028235294117647056,0.0,0.028235294117647056,-9.475214866303794,-9.469214806738261,0.006000059565533178,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,29,01:15-01:30,0.0,-8.878911079437077e-09,0.0,0.0,0.26138408304498273,0.0,0.26138408304498273,0.0,0.26138408304498273,-9.475214863692347,-9.413670689091202,0.061544174601145585,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,30,01:30-01:45,0.0,-8.898730593478256e-09,0.0,0.0,0.4359861591695502,0.0,0.4359861591695502,0.0,0.4359861591695502,-9.475214861075075,-9.321023630267671,0.15419123080740427,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,31,01:45-02:00,0.0,-8.91123085526661e-09,0.0,0.0,0.8027681660899654,0.0,0.8027681660899654,0.0,0.8027681660899654,-9.475214858454123,-9.150435394973554,0.32477946348056896,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,32,02:00-02:15,0.0,-8.926566112300467e-09,0.0,0.0,1.4164705882352941,0.0,1.4164705882352941,0.0,1.4164705882352941,-9.475214855828664,-8.849435394973554,0.6257794608551102,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,33,02:15-02:30,17.887105714390884,0.0,17.887105714390884,0.0,17.887105714390884,0.0,0.0,0.0,0.0,-5.674204891520601,-5.0484254306654925,0.6257794608551084,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
