scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
ordered,10,20:30-20:45,-6.215897587855813e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.141241120810824e-09,0.0,3.141241120810824e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,11,20:45-21:00,1.2682753129529325e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4615608078584257e-10,0.0,4.4615608078584257e-10,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,12,21:00-21:15,-5.739519264837275e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6658039245637635e-09,0.0,1.6658039245637635e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,13,21:15-21:30,1.673323996007513e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890009566952202e-09,0.0,-1.890009566952202e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,14,21:30-21:45,-9.144425385416778e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.318082744886352e-11,0.0,5.318082744886352e-11,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,15,21:45-22:00,-8.625699486533289e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8861419683371872e-09,0.0,1.8861419683371872e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,16,22:00-22:15,-2.2288914707893572e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3597814058799252e-09,0.0,2.3597814058799252e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,17,22:15-22:30,1.1867415218973587e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1075988324767367e-09,0.0,2.1075988324767367e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,18,22:30-22:45,-1.4650534761972394e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.41892269616865e-09,0.0,2.41892269616865e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,19,22:45-23:00,5.4665326487807866e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.407306314289991e-09,0.0,2.407306314289991e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,20,23:00-23:15,-1.880286880769513e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.447262410506343e-09,0.0,2.447262410506343e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,21,23:15-23:30,1.7193233525498779e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4107267892646583e-09,0.0,2.4107267892646583e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,22,23:30-23:45,-2.658087213831142e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46721114255857e-09,0.0,2.46721114255857e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,23,23:45-00:00,3.006164928049985e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.460823042086464e-09,0.0,2.460823042086464e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,24,00:00-00:15,3.1696156244743907e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.393468710066383e-09,0.0,2.393468710066383e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,25,00:15-00:30,-3.0477144626176476e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.458232642397008e-09,0.0,2.458232642397008e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,26,00:30-00:45,1.8302998960786414e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.419338769605337e-09,0.0,2.419338769605337e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,27,00:45-01:00,4.964279778602056e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.313847824310043e-09,0.0,2.313847824310043e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,28,01:00-01:15,-2.5710500336218656e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.368482637524508e-09,0.0,2.368482637524508e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,29,01:15-01:30,4.933777962200139e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.263639855827755e-09,0.0,2.263639855827755e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,30,01:30-01:45,3.572443242024114e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.504495666897631e-09,0.0,1.504495666897631e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,31,01:45-02:00,0.2752941144915005,0.0,0.2752941144915005,0.0,0.27529411764705886,0.0,3.1555583701603496e-09,0.0,3.1555583701603496e-09,0.0584999978249481,0.0585,2.1750519024754666e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
