t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
20,23:00-23:15,ordered,1.0,88.77323519125957,54.27013716583187,47.88541514635916,88.77323519128417,279.70202269473475,65.29797730507727,-8.999982270552209e-07,-1.8802868807695133e-10,0.0,-1.8802868807695133e-10,-2.447262410506343e-09,344.999999999812,3134.862612468374,1.6452510206733243e-09,3134.8626124700195
21,23:15-23:30,ordered,1.0,82.56996013103664,48.89396544697345,43.14173421796973,82.56996013105612,257.17561992703594,77.824380073136,-8.999981702118021e-07,1.7193233525498779e-10,0.0,1.7193233525498779e-10,-2.4107267892646583e-09,335.00000000017195,3011.319588885193,-1.5044079334811433e-09,3011.3195888836885
22,23:30-23:45,ordered,1.0,75.25102190285058,42.55088564924349,37.54489910235776,75.25102190287485,230.5978285573267,94.40217144240748,-8.999981133683832e-07,-2.658087213831142e-10,0.0,-2.658087213831142e-10,-2.46721114255857e-09,324.9999999997342,2866.725289224596,2.3258263121022497e-09,2866.725289226922
23,23:45-24:00,ordered,1.0,65.27695069180199,33.90669059969881,29.917668176523442,65.27695069181118,194.37826015983543,115.62173984019465,-8.999981560009473e-07,3.006164928049985e-11,0.0,3.006164928049985e-11,-2.460823042086464e-09,310.00000000003007,2671.7113127716816,-2.630394312043737e-10,2671.7113127714188
24,0:00-0:15,ordered,1.0,56.928894122307554,26.67170823966464,24.999999982950598,56.92889412231583,165.52949646723863,134.47050353307836,-8.999981275792379e-07,3.169615624474391e-10,0.0,3.169615624474391e-10,-2.393468710066383e-09,300.00000000031696,2518.0705527220525,-2.7734136714150925e-09,2518.070552719279
25,0:15-0:30,ordered,1.0,50.798562966257,21.35875457266965,24.9999999823239,50.79856296628095,147.9558804875315,147.0441195121638,-8.999981275792379e-07,-3.0477144626176476e-10,0.0,-3.0477144626176476e-10,-2.458232642397008e-09,294.99999999969526,2425.3237868576093,2.6667501547904417e-09,2425.323786860276
26,0:30-0:45,ordered,1.0,42.96559887113171,19.999999977898153,24.999999982200432,42.96559887116174,130.93119770239204,154.06880229779102,-8.999980991575285e-07,1.8302998960786417e-10,0.0,1.8302998960786417e-10,-2.419338769605337e-09,285.00000000018304,2336.219004125972,-1.6015124090688117e-09,2336.2190041243703
27,0:45-1:00,ordered,1.0,38.90908038517939,19.999999977772376,24.99999998215163,38.90908038523722,122.81816073034061,157.18183927015585,-8.999980991575285e-07,4.964279778602056e-10,0.0,4.964279778602056e-10,-2.3138478243100432e-09,280.0000000004964,2294.0831944715605,-4.343744806276799e-09,2294.083194467217
28,1:00-1:15,ordered,1.0,35.40524024160259,19.999999977688937,24.999999982094458,35.40524024169724,115.81048044308324,159.18951955665966,-8.999980707358191e-07,-2.5710500336218656e-10,0.0,-2.5710500336218656e-10,-2.368482637524508e-09,274.9999999997429,2257.8603441070027,2.2496687794191328e-09,2257.8603441092523
29,1:15-1:30,ordered,1.0,32.91149430611651,19.999999977610674,24.999999982026875,32.91149430626569,110.82298857201974,159.1770114284736,-8.999980423141096e-07,4.933777962200139e-10,0.0,4.933777962200139e-10,-2.2636398558277552e-09,270.0000000004934,2232.17710814812,-4.317055716925122e-09,2232.1771081438033
