t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
25,0:15-0:30,v2g,1.0,50.798562929418814,21.35875464759595,24.999999988689666,50.798562930783596,147.95588049648802,147.04411951205753,-8.998918588076776e-07,0.0,-8.54548937209595e-09,8.54548937209595e-09,-9.475214874051018,295.00000000854556,2425.323786905033,-9.613675543607945e-08,2425.3237868088963
26,0:30-0:45,v2g,1.0,42.96559887359582,19.999999980577584,24.99999998155417,42.965598875301794,130.93119771102937,154.06880229768376,-8.998908356261381e-07,0.0,-8.713094544578707e-09,8.713094544578707e-09,-9.475214871488342,285.0000000087131,2336.219004170987,-9.802231362651046e-08,2336.2190040729647
27,0:45-1:00,v2g,1.0,38.90908038947725,19.999999977506796,24.99999997898789,38.90908039276564,122.81816073873759,157.181839270048,-8.998902387702401e-07,0.0,-8.785566751585045e-09,8.785566751585045e-09,-9.475214868904352,280.00000000878555,2294.0831945146324,-9.883762595533177e-08,2294.083194415795
28,1:00-1:15,v2g,1.0,35.40524024984672,19.99999997042485,24.99999997679131,35.40524025522767,115.81048045229055,159.18951955655135,-8.998897556011798e-07,0.0,-8.841899620593876e-09,8.841899620593876e-09,-9.475214866303794,275.0000000088419,2257.8603441530295,-9.94713707316811e-08,2257.860344053558
29,1:15-1:30,v2g,1.0,32.91149431799291,19.999999961716746,24.999999974322403,32.91149432648188,110.82298858051394,159.17701142836495,-8.998893861189572e-07,0.0,-8.878911079437077e-09,8.878911079437077e-09,-9.475214863692349,270.0000000088789,2232.1771081888073,-9.98877496436671e-08,2232.17710808892
30,1:30-1:45,v2g,1.0,31.50718869849113,19.999999954211344,24.999999971085167,31.50718871016313,108.01437733395078,156.98562267494796,-8.998892155887006e-07,0.0,-8.898730593478256e-09,8.898730593478256e-09,-9.475214861075075,265.0000000088987,2217.749663397656,-1.0011071917663037e-07,2217.7496632975453
31,1:45-2:00,v2g,1.0,30.595194651484434,19.999999947742946,24.999999966923454,30.59519466635925,106.19038923251009,153.80961077640114,-8.998890734801535e-07,0.0,-8.91123085526661e-09,8.91123085526661e-09,-9.475214858454125,260.00000000891123,2208.393821499232,-1.0025134712174937e-07,2208.393821398981
32,2:00-2:15,v2g,1.0,29.447352349055777,19.99999993722941,24.999999956845937,29.44735237260734,103.89470461573846,151.1052953931881,-8.998889313716063e-07,0.0,-8.926566112300467e-09,8.926566112300467e-09,-9.475214855828664,255.00000000892658,2196.6338596043674,-1.0042386876338025e-07,2196.6338595039438
33,2:15-2:30,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,177.8871066135764,-7.208708439065958e-07,17.887105714390884,0.0,17.887105714390884,-5.674204891520601,267.8871057143909,2125.8624953432136,-111.79441071494303,2014.0680846282705
34,2:30-2:45,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,171.87481087344068,-7.309938041544228e-07,16.87480997425515,0.0,16.87480997425515,-2.0883077719913814,261.87480997425513,2125.8624953432136,-105.4675623390947,2020.394933004119
